"filename", "language", "TypeScript JSX", "SCSS", "TypeScript", "HTML", "comment", "blank", "total"
"e:\taroDemos\cloudmate\src\pages\approval\views\detail\index.d.ts", "TypeScript", 0, 0, 68, 0, 7, 12, 87
"e:\taroDemos\cloudmate\src\pages\approval\views\detail\index.module.scss", "SCSS", 0, 77, 0, 0, 1, 10, 88
"e:\taroDemos\cloudmate\src\pages\approval\views\detail\index.tsx", "TypeScript JSX", 119, 0, 0, 0, 0, 13, 132
"e:\taroDemos\cloudmate\src\pages\approval\views\home\index.module.scss", "SCSS", 0, 51, 0, 0, 0, 7, 58
"e:\taroDemos\cloudmate\src\pages\approval\views\home\index.tsx", "TypeScript JSX", 67, 0, 0, 0, 1, 13, 81
"e:\taroDemos\cloudmate\src\pages\approval\views\process\components\approval-item\index.module.scss", "SCSS", 0, 29, 0, 0, 0, 3, 32
"e:\taroDemos\cloudmate\src\pages\approval\views\process\components\approval-item\index.tsx", "TypeScript JSX", 36, 0, 0, 0, 0, 7, 43
"e:\taroDemos\cloudmate\src\pages\approval\views\process\components\process-tag\index.module.scss", "SCSS", 0, 7, 0, 0, 0, 1, 8
"e:\taroDemos\cloudmate\src\pages\approval\views\process\components\process-tag\index.tsx", "TypeScript JSX", 27, 0, 0, 0, 0, 5, 32
"e:\taroDemos\cloudmate\src\pages\approval\views\process\index.module.scss", "SCSS", 0, 43, 0, 0, 0, 6, 49
"e:\taroDemos\cloudmate\src\pages\approval\views\process\index.tsx", "TypeScript JSX", 81, 0, 0, 0, 1, 12, 94
"e:\taroDemos\cloudmate\src\pages\chat\components\chat-composer\index.module.scss", "SCSS", 0, 41, 0, 0, 4, 3, 48
"e:\taroDemos\cloudmate\src\pages\chat\components\chat-composer\index.tsx", "TypeScript JSX", 110, 0, 0, 0, 0, 13, 123
"e:\taroDemos\cloudmate\src\pages\chat\components\message-item\components\approval\done\index.module.scss", "SCSS", 0, 35, 0, 0, 0, 4, 39
"e:\taroDemos\cloudmate\src\pages\chat\components\message-item\components\approval\done\index.tsx", "TypeScript JSX", 64, 0, 0, 0, 1, 10, 75
