"filename", "language", "JSON", "JSON with Comments", "TypeScript", "TypeScript JSX", "JavaScript", "SCSS", "HTML", "SVG", "Log", "comment", "blank", "total"
"e:\taroDemos\cloudmate\src\store\reducers\auth.ts", "TypeScript", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 3, 20
"e:\taroDemos\cloudmate\src\store\reducers\tabbar.ts", "TypeScript", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 5, 22
"e:\taroDemos\cloudmate\src\store\reducers\user-state.ts", "TypeScript", 0, 0, 23, 0, 0, 0, 0, 0, 0, 1, 5, 29
"e:\taroDemos\cloudmate\src\store\selectors\attandence.ts", "TypeScript", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 5, 10
"e:\taroDemos\cloudmate\src\store\selectors\auth.ts", "TypeScript", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 2, 4
"e:\taroDemos\cloudmate\src\store\selectors\tabbar.ts", "TypeScript", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 2, 4
"e:\taroDemos\cloudmate\src\style\index.scss", "SCSS", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 1, 6
"e:\taroDemos\cloudmate\src\types\attendance.d.ts", "TypeScript", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 4, 11
"e:\taroDemos\cloudmate\src\types\auth.d.ts", "TypeScript", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"e:\taroDemos\cloudmate\src\utils\navigate.ts", "TypeScript", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 4, 16
"e:\taroDemos\cloudmate\src\utils\object.ts", "TypeScript", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"e:\taroDemos\cloudmate\tsconfig.json", "JSON with Comments", 0, 24, 0, 0, 0, 0, 0, 0, 0, 7, 0, 31
"e:\taroDemos\cloudmate\types\global.d.ts", "TypeScript", 0, 0, 17, 0, 0, 0, 0, 0, 0, 8, 5, 30
"e:\taroDemos\cloudmate\types\request.d.ts", "TypeScript", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"e:\taroDemos\cloudmate\yarn-error.log", "Log", 0, 0, 0, 0, 0, 0, 0, 0, 11413, 0, 1713, 13126
"Total", "-", 235, 24, 526, 770, 17, 368, 17, 34, 11413, 72, 2024, 15500
